,yokai,question,correct,gpt4o-mini,meta-llama-3.3-70b-instruct,gpt4o,llama-3.1-70b-japanese-instruct-2407,llama-3.1-swallow-70b-instruct-v0.1,llama-3-elyza-jp-8b,qwen2.5-32b-instruct,calm3-chat,qwen2.5-7b-instruct,llama-3.1-swallow-8b-instruct-v0.3,eurollm-9b-instruct,qwen2-7b-instruction,qwen2.5-14b-instruct,qwen2.5-3b-instruct,llama-3.1-swallow-8b-instruct-v0.1,gemma-2-27b-it,llama-3.1-swallow-8b-instruct-v0.2,meta-llama-3.1-8b-instruct,meta-llama-3-8b-instruct,tanuki-8x8b-dpo-v1.0,mistral-nemo-instruct-2407,gemma-2-9b-it,swallow-13b-instruct-v0.1,llm-jp-3-13b-insturct,llama-3.2-3b-instruct,gemma-2-2b-it,swallow-7b-instruct-v0.1,llm-jp-3-1.8b-instruct,llm-jp-3-3.7b-instruct,mistral-7b-instruct-v0.2,tanuki-8b-dpo-v1.0,eurollm-1.7b-instruct,llama-3-swallow-70b-instruct-v0.1,llama-3-swallow-8b-instruct-v0.1
10,アカガンター,"日本の妖怪アカガンターは、特にどのような行動をするとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 寝ている者の枕をひっくり返す
- 家の屋根に座る
- 人々を驚かせる
- 川で泳ぐ",寝ている者の枕をひっくり返す,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,False,True,True,True,False,False,True,False,False,False,False,False,False,,False,,False,,
11,赤子,"日本の妖怪である「赤子」の伝承において、どの地域で特に有名とされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 長野県
- 北海道
- 沖縄県
- 広島県",長野県,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,True,False,True,False,True,False,False,True,True,True,True,,,,
12,明石様,"日本の妖怪である「明石様」が人を斬った後、その人を斬った父親に何をされたとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 逃げられた
- 殺された
- 捕まえられた
- 助けられた",殺された,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,True,False,False,True,False,False,True,False,True,False,False,True,True,True,True,False,,,
13,赤舌,"日本の妖怪である「赤舌」が描かれている絵巻物には、特定の建造物が描かれていることが多いとされています。その建造物は何とされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 神社
- 水門
- 橋
- 城",水門,False,False,True,True,False,True,True,False,True,True,False,False,True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,
14,赤シャグマ,"日本の妖怪である「赤シャグマ」が住み着いた家が栄えるとされる理由は何でしょうか？以下の4つから回答を1つ選び出力しなさい。
- 金運が上がるから
- 子供が生まれるから
- 家族が健康になるから
- 商売繁盛になるから",商売繁盛になるから,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,True,True,False,False,True,False,True,,False,
15,赤手児,"日本の妖怪である「赤手児」が現れる場所とされているのはどこでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 古いサイカチの木の根元
- 神社の本殿
- 山の頂上
- 川のほとり",古いサイカチの木の根元,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,,False,True,False,False,False,False,False,True,False,,,
16,赤殿中,"日本の妖怪である「化け狸」が人間を化かす際に用いる特有の行動は何とされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 口から火を吐く
- 腹を叩いて音を出す
- 影を利用して隠れる
- 歌を歌う",腹を叩いて音を出す,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,,True,,False,True,
17,垢嘗,"日本の妖怪である「垢嘗」が食べるとされているものは何でしょうか？以下の4つから回答を1つ選び出力しなさい。
- 人間の血
- 風呂場の垢
- 古い文書
- 亡霊の魂",風呂場の垢,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,,,
18,あかはだか,"日本の妖怪あかはだかは、胴体に顔があるとされていますが、その顔の位置はどこにあるとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 胸
- 背中
- 腕
- 足",胸,True,True,True,False,True,False,True,True,False,False,False,True,True,True,True,True,True,False,False,True,False,True,,True,False,,False,False,True,True,,True,,
19,赤坊主,"日本の妖怪である「赤坊主」が現れる場所とされているのはどこでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 新潟県
- 北海道
- 沖縄県
- 東京都",新潟県,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,True,True,False,False,True,True,False,True,False,False,,
20,アカマタ,"日本の妖怪アカマタは、特定の生息地において何をすることが多いとされているでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 女性をだます
- 子供を守る
- 人を襲う
- 宝物を隠す",女性をだます,True,True,True,True,False,True,False,False,True,False,False,False,False,False,True,True,False,True,True,False,False,True,True,,False,False,False,False,False,False,False,True,,
21,燈無蕎麦、灯無蕎麦,"燈無蕎麦において、行灯の火が消えないとされている現象は何と呼ばれていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 消えずの行灯
- 灯火の妖
- 不幸の灯
- 終わらぬ火",消えずの行灯,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,,True,True,True,False,True,True,True,False,False,False,,
22,あかんべい,"日本の妖怪あかんべいは、どのような特徴を持つとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 両手で両目の下まぶたを下げ、舌を出す
- 長い髪を振り乱している
- 頭に角が生えている
- 体が透明である",両手で両目の下まぶたを下げ、舌を出す,True,True,True,True,True,True,False,True,False,True,,True,False,True,True,True,True,True,True,True,True,,True,True,,False,False,False,True,False,True,,,
23,悪四郎妖怪,"日本の妖怪悪四郎に関する伝承において、悪四郎が現れた際に五太夫が何を求めたとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 証拠の文書
- 金銭
- 話合いの証拠
- 妖怪の名前",話合いの証拠,False,False,False,True,False,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,,,
24,灰坊主,"日本の妖怪灰坊主が現れるとされている行為は何でしょうか？以下の4つから回答を1つ選び出力しなさい。
- 風呂に2回入る
- 囲炉裏の灰をいじる
- 仏壇に供えたご飯を食べる
- 裸で便所に入る",囲炉裏の灰をいじる,True,True,True,True,True,True,False,True,False,True,,True,False,False,True,True,True,False,False,True,True,True,True,True,True,True,True,True,False,True,False,,,
25,阿久良王,"日本の妖怪阿久良王が悪事を働いていた際に、彼が率いていた家来の名前として正しいものはどれとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 坂上田村麻呂
- 東郷太郎
- 白ひげの老人
- 藤原種継",東郷太郎,False,True,False,True,True,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,False,,
26,悪路王,"悪路王はどのような人物として伝えられていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 東北の蝦夷の指導者
- 鎌倉幕府の初代将軍
- 平安時代の詩人
- 江戸時代の商人",東北の蝦夷の指導者,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,,True,,
27,悪路神の火,"悪路神の火は、特にどのような天候の夜に多く現れるとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 晴れた夜
- 風の強い夜
- 雨の降る夜
- 月明かりの夜",雨の降る夜,True,True,True,False,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,True,False,True,False,False,False,,False,,
28,麻桶の毛,"日本の妖怪である「麻桶の毛」が人を襲うのは何が原因とされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 神社の神が怒っている時
- 神社の神が喜んでいる時
- 人間が不浄な行いをした時
- 麻桶が破れた時",神社の神が怒っている時,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,True,,,
29,浅茅ヶ原の鬼婆,"浅茅ヶ原の鬼婆が宿泊した旅人を襲う際に使用したとされる道具は何とされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 刀
- 石枕
- 縄
- 木槌",石枕,True,True,True,True,True,True,False,False,False,False,True,True,False,False,False,,False,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,,
30,足洗邸,"日本の妖怪足洗邸において、巨大な足が現れる際に家人が指示される行動は何とされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 足を拭く
- 足を洗う
- 足を隠す
- 足を切る",足を洗う,True,True,True,True,True,True,True,True,True,False,False,,True,True,False,True,True,True,False,True,True,,False,True,False,,False,False,False,True,,False,True,
31,足長手長,"足長手長という妖怪について、海で漁をする際にどのような役割を持つとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 足長人が魚を捕まえる役割を持つ
- 手長人が魚を捕まえる役割を持つ
- 足長人が手長人を背負う役割を持つ
- 手長人が足長人を背負う役割を持つ",足長人が手長人を背負う役割を持つ,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False,False,True,False,,True,True,False,True,False,False,False,False,False,False,False,False,,,
32,足まがり,"日本の妖怪である「足まがり」は、何によって通行人を転ばせるとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 尻尾のようなもの
- 糸状のもの
- 綿のようなもの
- 鞠状のもの",綿のようなもの,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,True,False,,False,False,,False,False,,
33,小豆洗い、小豆とぎ,"日本の妖怪である「小豆洗い」に関する伝承の中で、特定の地方では小豆洗いが何を洗っていると考えられていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 米
- 野菜
- 小豆
- 衣服",小豆,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,,
34,小豆はかり,"日本の妖怪である「小豆はかり」が発生させる音の種類として最も一般的に知られているものは何でしょうか？以下の4つから回答を1つ選び出力しなさい。
- 鈴の音
- 小豆をまく音
- 風の音
- 水の流れる音",小豆をまく音,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,,,
35,小豆婆,"日本の妖怪である小豆婆は、どのような音を立てるとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 小豆を洗う音
- 風の音
- 鐘の音
- 水の流れる音",小豆を洗う音,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,True,,
36,遊火,"日本の妖怪である「鬼火」は、一般に何から生じるとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 自然の火花
- 人間や動物の死体
- 植物の腐敗
- 雷からの放電",人間や動物の死体,True,True,True,True,True,False,,False,,True,True,True,,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,False,False,False,,,
37,安宅丸,"安宅丸の建造年は寛永何年とされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 寛永7年
- 寛永9年
- 寛永11年
- 寛永13年",寛永9年,False,False,False,False,False,False,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,True,False,True,False,,,False,,
38,アツゥイカクラ,"日本の妖怪「アツゥイカクラ」にまつわる伝説では、どのような物が化けたとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 大きな魚
- 女の肌着
- 流木
- クジラの骨",女の肌着,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,
39,アツゥイコロエカシ,"日本の妖怪「アツゥイコロエカシ」について、彼がどのような色をしているとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 青
- 緑
- 赤
- 黒",赤,False,True,True,True,True,,True,,True,False,False,,True,,False,True,True,,False,False,False,True,False,False,False,True,False,False,False,,,False,,
40,悪鬼,"日本の妖怪悪鬼は、特に何によって人々に災厄をもたらすとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 風水
- 流行病
- 食物
- 天候",流行病,True,False,True,True,False,True,True,False,True,True,True,False,True,False,True,False,True,True,True,False,True,True,True,True,False,True,False,True,,True,,,,
41,アッコロカムイ,"アッコロカムイが住んでいるとされる地域はどこでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 関東地方
- 北海道の噴火湾
- 九州地方
- 東北地方",北海道の噴火湾,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,,
42,後追い小僧,"日本の妖怪である「後追い小僧」は、人間に対して何をすることが多いとされているでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 食べ物を奪う
- 後をつける
- 声をかける
- 道を教える",後をつける,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,,
43,鐙口,"日本の妖怪である「鐙口」はどのような形をしているとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 耳が生えた木の形
- 口と目が生えた鐙の形
- 人間の顔を持つ馬の形
- 翼のある蛇の形",口と目が生えた鐙の形,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,,True,True,True,True,True,True,True,True,True,False,False,True,True,True,,,
44,油赤子,"日本の妖怪「油赤子」はどのような行動をするとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 家の中で踊る
- 行灯の油を舐め取る
- 夜に人を驚かせる
- 河に住む",行灯の油を舐め取る,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,False,False,False,False,False,False,,,
45,油返し,"日本の妖怪「油返し」はどのような現象を引き起こすとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 火を灯す
- 油を盗む
- 人を呪う
- 水を干上がらせる",油を盗む,True,True,True,True,True,True,False,True,False,True,True,False,False,False,True,True,True,False,False,True,True,True,False,False,False,False,False,True,True,False,,False,,
46,油すまし,"熊本県に伝わる妖怪「油すまし」の正体とされているものについて、以下の4つのうちどれが最も一般的に言われているでしょうか？選択肢から回答を1つ選び出力しなさい。
- 人の姿をした妖怪
- 油瓶を持った老婆
- 油を盗んだ罪人の亡霊
- 山の神",油を盗んだ罪人の亡霊,True,True,True,True,False,False,True,True,True,False,,True,True,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,,
47,油徳利,"日本の妖怪「油徳利」は特定の特徴を持つとされていますが、その特徴として最も一般的に言われていることは何でしょうか？以下の4つから回答を1つ選び出力しなさい。
- 火を吹く能力を持つ
- 油を無限に生み出す
- 人間の言葉を話す
- 水を飲むことができる",油を無限に生み出す,True,True,True,True,True,True,False,True,True,True,True,True,,True,True,True,True,True,False,False,True,True,False,False,True,True,False,True,True,True,,,True,
48,油取り,"日本の妖怪である「隠し神」が現れる時間帯は何時頃とされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 午前中
- 昼過ぎ
- 夕方
- 深夜",夕方,False,False,False,False,False,False,True,False,False,True,True,,True,False,False,False,False,False,True,,False,False,,False,False,,True,True,False,False,,False,,
49,油なせ,"日本の妖怪である「油なせ」は、特定の行動を取ると出現するとされています。どの行動が油なせを呼び寄せるとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 油を粗末に扱う
- 夜に墓参りをする
- 灯火を消す
- 水辺に近づく",油を粗末に扱う,True,True,True,True,True,,True,True,True,True,True,True,False,True,False,True,True,False,True,False,True,True,True,True,True,True,False,False,True,False,False,,True,
50,油坊,"油坊はどのような伝承に由来するとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 油を盗んだ僧侶が化けた
- 狐に化かされた人間が化けた
- 水に沈んだ者の霊が現れた
- 火事で亡くなった者の霊が現れた",油を盗んだ僧侶が化けた,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,True,False,False,,
51,安倍晴明,"安倍晴明が陰陽師として活躍した時代、彼が出世するきっかけとなった出来事は何とされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 内裏火災による霊剣鋳造の功労
- 皇太子の命令での天狗封じの儀式
- 雨乞いの儀式
- 占いによる病の回復",内裏火災による霊剣鋳造の功労,True,False,True,False,False,True,False,True,True,False,,True,True,True,False,False,False,False,True,False,False,True,False,True,True,True,False,True,True,True,True,,,
52,雨傘,"日本の妖怪「からかさ小僧」が一般的に描写される姿について、どのような特徴があるとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 二本足で歩く
- 一本足で飛び跳ねる
- 四本足で走る
- 頭が二つある",一本足で飛び跳ねる,False,True,False,True,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,,,
53,甘酒婆,"甘酒婆が民家を訪ねる際に言う言葉として、一般的に何とされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- お酒はござらんか？
- 甘酒はござらんか？
- お茶はござらんか？
- 水はござらんか？",甘酒はござらんか？,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,,True,True,True,True,True,True,False,True,True,False,False,True,False,True,True,,,
54,アマネサク,"日本の妖怪「アマネサク」は灰をいじると何が起こるとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 他の妖怪が現れる
- 地面が崩れる
- 灰の中に引き込まれる
- 火事が起こる",灰の中に引き込まれる,True,True,True,False,True,True,True,False,True,True,True,True,False,False,True,True,True,True,True,False,False,,False,False,True,True,True,True,False,False,False,,,
55,天逆毎,"日本の妖怪である天逆毎が荒れ狂う性格は何に起因するとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 物事が意のままにならないこと
- 他の神々との争い
- 人間の行動
- 自然現象",物事が意のままにならないこと,True,True,True,,True,True,True,True,True,False,True,False,,False,True,True,False,False,True,,True,True,True,False,False,False,False,True,False,False,True,,,
56,天邪鬼、天の邪鬼,"日本の妖怪である天邪鬼は、どのような特性を持つ存在とされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 人の心を読み取って反対に悪戯をしかける
- 人に幸運をもたらす
- 病気を治す力を持つ
- 人々を守る神である",人の心を読み取って反対に悪戯をしかける,True,True,True,True,True,True,False,True,False,True,True,True,,True,True,True,True,False,True,True,True,True,True,True,False,True,True,False,True,True,False,,,
57,アマビコ,"日本の妖怪アマビコが予言したとされる内容の中で、どれが最も一般的に言われていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 豊作や疫病が発生すること
- 人々が海に沈むこと
- 都市が消えること
- 空が赤くなること",豊作や疫病が発生すること,True,True,True,True,True,False,False,True,False,False,True,True,False,True,True,True,False,True,True,True,False,True,True,True,True,,False,False,True,True,,,,
58,あま人,"日本の妖怪である「あま人」は、死の直前の魂がどのような行動をするとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 他の人を呪う
- 天に昇る
- 逢いたい人のもとを訪ねる
- 隠れる",逢いたい人のもとを訪ねる,True,True,True,,True,True,True,True,True,True,True,True,True,,False,False,True,False,True,True,True,True,False,False,False,True,,True,False,False,,,,
59,あまぶらこさぎ,"日本の妖怪あまぶらこさぎは、怠け者が便所に入ると何を取り去るとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 怠け心
- あまぶら
- 悪運
- 不運",あまぶら,False,False,False,False,False,False,True,False,True,True,True,False,True,True,False,False,False,True,False,False,False,,True,False,True,True,False,True,False,,False,,,
60,あまめはぎ、あまみはぎ,"日本の妖怪あまめはぎは、怠け者を象徴するものとして何を剥ぎ取るとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 髪の毛
- 火だこ
- 爪
- 影",火だこ,False,False,False,True,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,,False,,False,,
61,あまんじゃく,"日本の妖怪あまんじゃくは、どのような行動を取るとされることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 人の心を読み取って悪戯をする
- 人を食べる
- 呪いをかける
- 人を助ける",人の心を読み取って悪戯をする,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,False,True,False,,,True,True
62,網切、網剪,"日本の妖怪「網切、網剪」が切り裂くとされるものは何とされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 魚の網
- 人間の髪
- 竹の子
- 天井の網",魚の網,True,False,True,False,False,True,False,True,False,True,True,True,False,False,True,True,True,False,False,True,,True,True,True,False,True,False,False,False,True,False,False,,
63,雨女,"日本の妖怪「雨女」が出現するとされるのは、どのような状況とされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 晴れた日
- 雨の日
- 雪の日
- 風の強い日",雨の日,True,True,True,True,True,True,False,True,False,True,True,True,,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,,,
64,雨降小僧,"日本の妖怪である「雨降小僧」は、どのような役割を持つ存在とされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 雨を降らせる神の侍童
- 人を騙す妖怪
- 火を焚く妖怪
- お金を運ぶ妖怪",雨を降らせる神の侍童,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,,False,True,True,True,True,True,False,,
65,あめます,"日本の妖怪である「あめます」が摩周湖に住むとされる巨大な存在は何とされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 鯨のような大きさのアメマス
- 神の使いとされる白い狐
- 湖の主とされる巨大な鯰
- 不老不死の仙人",鯨のような大きさのアメマス,False,False,False,False,False,False,False,False,False,,False,False,,False,True,False,False,False,True,False,True,False,,True,False,False,False,False,,True,True,,,
66,天降女子,"天降女子が現れる際に、何が降るとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 雪
- 小雨
- 霧
- 雷",小雨,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False,False,False,True,False,False,False,False,,False,False,False,False,False,,,False,,
67,アヤカシ、アヤカシの怪火,"アヤカシの怪火に関する伝説で、怪火の中に見える子供が歩いているとされる現象は、どのような時間帯に観察されることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 昼間
- 朝方
- 夕暮れ
- 真夜中",夕暮れ,False,True,False,True,True,False,True,False,True,True,True,False,True,False,True,False,True,True,True,True,False,False,True,False,False,True,False,False,False,False,False,False,,
68,アラサラウス,"日本の妖怪アラサラウスは、どのような動物に分類されるとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 狸
- 狼
- クマ
- 狐",クマ,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,
